BCV	P
B003:C025:V023	¶
B003:C025:V023 	
B003:C025:V035	¶
B003:C025:V035 	
B003:C025:V039	¶
B003:C025:V039 	
B003:C025:V047	¶
B003:C025:V047 	
B003:C026:V001	¶
B003:C026:V001 	
B003:C026:V003	¶
B003:C026:V003 	
B003:C026:V014	¶
B003:C026:V014 	
B003:C027:V001	¶
B003:C027:V001 	
B003:C027:V009	¶
B003:C027:V009 	
B003:C027:V014	¶
B003:C027:V014 	
B003:C027:V026	¶
B003:C027:V026 	
B003:C027:V036	¶
B003:C027:V036 	
B004:C000:V000	¶
B004:C000:V000 	
B004:C001:V001	¶
B004:C001:V001 	
B004:C001:V005	¶
B004:C001:V005 	
B004:C001:V017	¶
B004:C001:V017 	
B004:C001:V022	¶
B004:C001:V022 	
B004:C001:V024	¶
B004:C001:V024 	
B004:C001:V026	¶
B004:C001:V026 	
B004:C001:V028	¶
B004:C001:V028 	
B004:C001:V030	¶
B004:C001:V030 	
B004:C001:V032	¶
B004:C001:V032 	
B004:C001:V034	¶
B004:C001:V034 	
B004:C001:V036	¶
B004:C001:V036 	
B004:C001:V038	¶
B004:C001:V038 	
B004:C001:V040	¶
B004:C001:V040 	
B004:C001:V042	¶
B004:C001:V042 	
B004:C001:V047	¶
B004:C001:V047 	
B004:C002:V001	¶
B004:C002:V001 	
B004:C002:V003	¶
B004:C002:V003 	
B004:C002:V010	¶
B004:C002:V010 	
B004:C002:V017	¶
B004:C002:V017 	
B004:C002:V018	¶
B004:C002:V018 	
B004:C002:V032	¶
B004:C002:V032 	
B004:C003:V001	¶
B004:C003:V001 	
B004:C003:V005	¶
B004:C003:V005 	
B004:C003:V014	¶
B004:C003:V014 	
B004:C003:V021	¶
B004:C003:V021 	
B004:C003:V027	¶
B004:C003:V027 	
B004:C003:V033	¶
B004:C003:V033 	
B004:C003:V038	¶
B004:C003:V038 	
B004:C003:V040	¶
B004:C003:V040 	
B004:C003:V044	¶
B004:C003:V044 	
B004:C004:V001	¶
B004:C004:V001 	
B004:C004:V016	¶
B004:C004:V016 	
B004:C004:V021	¶
B004:C004:V021 	
B004:C004:V034	¶
B004:C004:V034 	
B004:C005:V001	¶
B004:C005:V001 	
B004:C005:V005	¶
B004:C005:V005 	
B004:C005:V011	¶
B004:C005:V011 	
B004:C006:V001	¶
B004:C006:V001 	
B004:C006:V013	¶
B004:C006:V013 	
B004:C006:V022	¶
B004:C006:V022 	
B004:C007:V001	¶
B004:C007:V001 	
B004:C007:V012	¶
B004:C007:V012 	
B004:C007:V018	¶
B004:C007:V018 	
B004:C007:V024	¶
B004:C007:V024 	
B004:C007:V030	¶
B004:C007:V030 	
B004:C007:V036	¶
B004:C007:V036 	
B004:C007:V042	¶
B004:C007:V042 	
B004:C007:V048	¶
B004:C007:V048 	
B004:C007:V054	¶
B004:C007:V054 	
B004:C007:V060	¶
B004:C007:V060 	
B004:C007:V066	¶
B004:C007:V066 	
B004:C007:V072	¶
B004:C007:V072 	
B004:C007:V078	¶
B004:C007:V078 	
B004:C007:V084	¶
B004:C007:V084 	
B004:C007:V089	¶
B004:C007:V089 	
B004:C008:V001	¶
B004:C008:V001 	
B004:C008:V005	¶
B004:C008:V005 	
B004:C008:V023	¶
B004:C008:V023 	
B004:C009:V001	¶
B004:C009:V001 	
B004:C009:V009	¶
B004:C009:V009 	
B004:C009:V015	¶
B004:C009:V015 	
B004:C010:V001	¶
B004:C010:V001 	
B004:C010:V011	¶
B004:C010:V011 	
B004:C010:V018	¶
B004:C010:V018 	
B004:C010:V022	¶
B004:C010:V022 	
B004:C010:V025	¶
B004:C010:V025 	
B004:C010:V029	¶
B004:C010:V029 	
B004:C010:V033	¶
B004:C010:V033 	
B004:C011:V001	¶
B004:C011:V001 	
B004:C011:V004	¶
B004:C011:V004 	
B004:C011:V016	¶
B004:C011:V016 	
B004:C011:V031	¶
B004:C011:V031 	
B004:C012:V001	¶
B004:C012:V001 	
B004:C013:V001	¶
B004:C013:V001 	
B004:C013:V023	¶
B004:C013:V023 	
B004:C013:V026	¶
B004:C013:V026 	
B004:C014:V001	¶
B004:C014:V001 	
B004:C014:V026	¶
B004:C014:V026 	
B004:C014:V040	¶
B004:C014:V040 	
B004:C015:V001	¶
B004:C015:V001 	
B004:C015:V017	¶
B004:C015:V017 	
B004:C015:V032	¶
B004:C015:V032 	
B004:C015:V037	¶
B004:C015:V037 	
B004:C016:V001	¶
B004:C016:V001 	
B004:C016:V036	¶
B004:C016:V036 	
B004:C016:V041	¶
B004:C016:V041 	
B004:C017:V001	¶
B004:C017:V001 	
B004:C018:V001	¶
B004:C018:V001 	
B004:C018:V020	¶
B004:C018:V020 	
B004:C018:V025	¶
B004:C018:V025 	
B004:C019:V001	¶
B004:C019:V001 	
B004:C019:V011	¶
B004:C019:V011 	
B004:C020:V001	¶
B004:C020:V001 	
B004:C020:V014	¶
B004:C020:V014 	
B004:C020:V022	¶
B004:C020:V022 	
B004:C021:V001	¶
B004:C021:V001 	
B004:C021:V004	¶
B004:C021:V004 	
B004:C021:V010	¶
B004:C021:V010 	
B004:C021:V012	¶
B004:C021:V012 	
B004:C021:V017	¶
B004:C021:V017 	
B004:C021:V021	¶
B004:C021:V021 	
B004:C021:V033	¶
B004:C021:V033 	
B004:C022:V001	¶
B004:C022:V001 	
B004:C023:V001	¶
B004:C023:V001 	
B004:C024:V001	¶
B004:C024:V001 	
B004:C025:V001	¶
B004:C025:V001 	
B004:C025:V010	¶
B004:C025:V010 	
B004:C025:V016	¶
B004:C025:V016 	
B004:C026:V001	¶
B004:C026:V001 	
B004:C026:V005	¶
B004:C026:V005 	
B004:C026:V012	¶
B004:C026:V012 	
B004:C026:V015	¶
B004:C026:V015 	
B004:C026:V019	¶
B004:C026:V019 	
B004:C026:V023	¶
B004:C026:V023 	
B004:C026:V026	¶
B004:C026:V026 	
B004:C026:V028	¶
B004:C026:V028 	
B004:C026:V038	¶
B004:C026:V038 	
B004:C026:V042	¶
B004:C026:V042 	
B004:C026:V044	¶
B004:C026:V044 	
B004:C026:V048	¶
B004:C026:V048 	
B004:C026:V052	¶
B004:C026:V052 	
B004:C026:V057	¶
B004:C026:V057 	
B004:C027:V001	¶
B004:C027:V001 	
B004:C027:V012	¶
B004:C027:V012 	
B004:C028:V001	¶
B004:C028:V001 	
B004:C028:V009	¶
B004:C028:V009 	
B004:C028:V011	¶
B004:C028:V011 	
B004:C028:V016	¶
B004:C028:V016 	
B004:C028:V026	¶
B004:C028:V026 	
B004:C029:V001	¶
B004:C029:V001 	
B004:C029:V007	¶
B004:C029:V007 	
B004:C029:V012	¶
B004:C029:V012 	
B004:C030:V001	¶
B004:C030:V001 	
B004:C031:V001	¶
B004:C031:V001 	
B004:C031:V013	¶
B004:C031:V013 	
B004:C031:V025	¶
B004:C031:V025 	
B004:C031:V048	¶
B004:C031:V048 	
B004:C032:V001	¶
B004:C032:V001 	
B004:C032:V034	¶
B004:C032:V034 	
B004:C033:V001	¶
B004:C033:V001 	
B004:C033:V050	¶
B004:C033:V050 	
B004:C034:V001	¶
B004:C034:V001 	
B004:C034:V016	¶
B004:C034:V016 	
B004:C035:V001	¶
B004:C035:V001 	
B004:C035:V009	¶
B004:C035:V009 	
B004:C036:V001	¶
B004:C036:V001 	
B005:C000:V000	¶
B005:C000:V000 	
B005:C001:V001	¶
B005:C001:V001 	
B005:C001:V006	¶
B005:C001:V006 	
B005:C001:V009	¶
B005:C001:V009 	
B005:C001:V019	¶
B005:C001:V019 	
B005:C001:V022	¶
B005:C001:V022 	
B005:C001:V034	¶
B005:C001:V034 	
B005:C001:V042	¶
B005:C001:V042 	
B005:C002:V001	¶
B005:C002:V001 	
B005:C002:V016	¶
B005:C002:V016 	
B005:C002:V026	¶
B005:C002:V026 	
B005:C003:V001	¶
B005:C003:V001 	
B005:C003:V018	¶
B005:C003:V018 	
B005:C003:V021	¶
B005:C003:V021 	
B005:C004:V001	¶
B005:C004:V001 	
B005:C004:V014	¶
B005:C004:V014 	
B005:C004:V025	¶
B005:C004:V025 	
B005:C004:V041	¶
B005:C004:V041 	
B005:C005:V001	¶
B005:C005:V001 	
B005:C005:V006	¶
B005:C005:V006 	
B005:C005:V022	¶
B005:C005:V022 	
B005:C006:V001	¶
B005:C006:V001 	
B005:C006:V003	¶
B005:C006:V003 	
B005:C006:V013	¶
B005:C006:V013 	
B005:C006:V020	¶
B005:C006:V020 	
B005:C007:V001	¶
B005:C007:V001 	
B005:C007:V012	¶
B005:C007:V012 	
B005:C008:V001	¶
B005:C008:V001 	
B005:C009:V001	¶
B005:C009:V001 	
B005:C009:V007	¶
B005:C009:V007 	
B005:C009:V023	¶
B005:C009:V023 	
B005:C010:V001	¶
B005:C010:V001 	
B005:C010:V006	¶
B005:C010:V006 	
B005:C010:V012	¶
B005:C010:V012 	
B005:C011:V001	¶
B005:C011:V001 	
B005:C011:V013	¶
B005:C011:V013 	
B005:C011:V018	¶
B005:C011:V018 	
B005:C011:V022	¶
B005:C011:V022 	
B005:C011:V026	¶
B005:C011:V026 	
B005:C012:V001	¶
B005:C012:V001 	
B005:C012:V017	¶
B005:C012:V017 	
B005:C012:V020	¶
B005:C012:V020 	
B005:C012:V029	¶
B005:C012:V029 	
B005:C013:V001	¶
B005:C013:V001 	
B005:C013:V006	¶
B005:C013:V006 	
B005:C013:V012	¶
B005:C013:V012 	
B005:C014:V001	¶
B005:C014:V001 	
B005:C014:V003	¶
B005:C014:V003 	
B005:C014:V009	¶
B005:C014:V009 	
B005:C014:V011	¶
B005:C014:V011 	
B005:C014:V022	¶
B005:C014:V022 	
B005:C015:V001	¶
B005:C015:V001 	
B005:C015:V007	¶
B005:C015:V007 	
B005:C015:V012	¶
B005:C015:V012 	
B005:C015:V019	¶
B005:C015:V019 	
B005:C016:V001	¶
B005:C016:V001 	
B005:C016:V009	¶
B005:C016:V009 	
B005:C016:V013	¶
B005:C016:V013 	
B005:C016:V018	¶
B005:C016:V018 	
B005:C016:V021	¶
B005:C016:V021 	
B005:C017:V001	¶
B005:C017:V001 	
B005:C017:V002	¶
B005:C017:V002 	
B005:C017:V008	¶
B005:C017:V008 	
B005:C017:V014	¶
B005:C017:V014 	
B005:C018:V001	¶
B005:C018:V001 	
B005:C018:V003	¶
B005:C018:V003 	
B005:C018:V006	¶
B005:C018:V006 	
B005:C018:V009	¶
B005:C018:V009 	
B005:C018:V015	¶
B005:C018:V015 	
B005:C019:V001	¶
B005:C019:V001 	
B005:C019:V004	¶
B005:C019:V004 	
B005:C019:V014	¶
B005:C019:V014 	
B005:C020:V001	¶
B005:C020:V001 	
B005:C020:V005	¶
B005:C020:V005 	
B005:C020:V010	¶
B005:C020:V010 	
B005:C020:V019	¶
B005:C020:V019 	
B005:C021:V001	¶
B005:C021:V001 	
B005:C021:V010	¶
B005:C021:V010 	
B005:C021:V015	¶
B005:C021:V015 	
B005:C021:V018	¶
B005:C021:V018 	
B005:C021:V022	¶
B005:C021:V022 	
B005:C022:V001	¶
B005:C022:V001 	
B005:C022:V005	¶
B005:C022:V005 	
B005:C022:V013	¶
B005:C022:V013 	
B005:C022:V015	¶
B005:C022:V015 	
B005:C022:V022	¶
B005:C022:V022 	
B005:C022:V024	¶
B005:C022:V024 	
B005:C023:V001	¶
B005:C023:V001	¶
B005:C023:V001 	
B005:C023:V001 	
B005:C023:V009	¶
B005:C023:V009 	
B005:C023:V015	¶
B005:C023:V015 	
B005:C023:V024	¶
B005:C023:V024 	
B005:C024:V001	¶
B005:C024:V001 	
B005:C024:V006	¶
B005:C024:V006 	
B005:C024:V019	¶
B005:C024:V019 	
B005:C025:V001	¶
B005:C025:V001 	
B005:C025:V011	¶
B005:C025:V011 	
B005:C025:V017	¶
B005:C025:V017 	
B005:C026:V001	¶
B005:C026:V001 	
B005:C026:V012	¶
B005:C026:V012 	
B005:C027:V001	¶
B005:C027:V001 	
B005:C027:V009	¶
B005:C027:V009 	
B005:C027:V011	¶
B005:C027:V011 	
B005:C028:V001	¶
B005:C028:V001 	
B005:C028:V015	¶
B005:C028:V015 	
B005:C028:V045	¶
B005:C028:V045 	
B005:C028:V058	¶
B005:C028:V058 	
B005:C029:V001	¶
B005:C029:V001 	
B005:C029:V002	¶
B005:C029:V002 	
B005:C029:V010	¶
B005:C029:V010 	
B005:C030:V001	¶
B005:C030:V001 	
B005:C031:V001	¶
B005:C031:V001 	
B005:C031:V007	¶
B005:C031:V007 	
B005:C031:V009	¶
B005:C031:V009 	
B005:C031:V014	¶
B005:C031:V014 	
B005:C031:V017	¶
B005:C031:V017 	
B005:C031:V022	¶
B005:C031:V022 	
B005:C031:V024	¶
B005:C031:V024 	
B005:C032:V001	¶
B005:C032:V001 	
B005:C032:V015	¶
B005:C032:V015 	
B005:C032:V044	¶
B005:C032:V044 	
B005:C032:V048	¶
B005:C032:V048 	
B005:C033:V001	¶
B005:C033:V001 	
B005:C033:V004	¶
B005:C033:V004 	
B005:C033:V006	¶
B005:C033:V006 	
B005:C033:V007	¶
B005:C033:V007 	
B005:C033:V008	¶
B005:C033:V008 	
B005:C033:V012	¶
B005:C033:V012 	
B005:C033:V013	¶
B005:C033:V013 	
B005:C033:V018	¶
B005:C033:V018 	
B005:C033:V020	¶
B005:C033:V020 	
B005:C033:V022	¶
B005:C033:V022 	
B005:C033:V023	¶
B005:C033:V023 	
B005:C033:V024	¶
B005:C033:V024 	
B005:C033:V026	¶
B005:C033:V026 	
B005:C034:V001	¶
B005:C034:V001 	
B005:C034:V005	¶
B005:C034:V005 	
B005:C034:V010	¶
B005:C034:V010 	
B006:C000:V000	¶
B006:C000:V000 	
B006:C001:V001	¶
B006:C001:V001 	
B006:C001:V010	¶
B006:C001:V010 	
B006:C001:V012	¶
B006:C001:V012 	
B006:C002:V001	¶
B006:C002:V001 	
B006:C002:V022	¶
B006:C002:V022 	
B006:C003:V001	¶
B006:C003:V001 	
B006:C003:V007	¶
B006:C003:V007 	
B006:C003:V009	¶
B006:C003:V009 	
B006:C004:V001	¶
B006:C004:V001 	
B006:C004:V004	¶
B006:C004:V004 	
B006:C004:V008	¶
B006:C004:V008 	
B006:C004:V014	¶
B006:C004:V014 	
B006:C004:V019	¶
B006:C004:V019 	
B006:C005:V001	¶
B006:C005:V001 	
B006:C005:V002	¶
B006:C005:V002 	
B006:C005:V010	¶
B006:C005:V010 	
B006:C005:V013	¶
B006:C005:V013 	
B006:C006:V001	¶
B006:C006:V001 	
B006:C006:V006	¶
B006:C006:V006 	
B006:C006:V008	¶
B006:C006:V008 	
B006:C006:V017	¶
B006:C006:V017 	
B006:C006:V020	¶
B006:C006:V020 	
B006:C007:V001	¶
B006:C007:V001 	
B006:C007:V010	¶
B006:C007:V010 	
B006:C007:V016	¶
B006:C007:V016 	
B006:C008:V001	¶
B006:C008:V001 	
B006:C008:V014	¶
B006:C008:V014 	
B006:C008:V030	¶
B006:C008:V030 	
B006:C009:V001	¶
B006:C009:V001 	
B006:C009:V003	¶
B006:C009:V003 	
B006:C009:V022	¶
B006:C009:V022 	
B006:C010:V001	¶
B006:C010:V001 	
B006:C010:V008	¶
B006:C010:V008 	
B006:C010:V012	¶
B006:C010:V012 	
B006:C010:V015	¶
B006:C010:V015 	
B006:C010:V028	¶
B006:C010:V028 	
B006:C010:V031	¶
B006:C010:V031 	
B006:C010:V033	¶
B006:C010:V033 	
B006:C010:V034	¶
B006:C010:V034 	
B006:C010:V038	¶
B006:C010:V038 	
B006:C010:V040	¶
B006:C010:V040 	
B006:C011:V001	¶
B006:C011:V001 	
B006:C011:V006	¶
B006:C011:V006 	
B006:C011:V010	¶
B006:C011:V010 	
B006:C011:V015	¶
B006:C011:V015 	
B006:C011:V021	¶
B006:C011:V021 	
B006:C012:V001	¶
B006:C012:V001 	
B006:C012:V004	¶
B006:C012:V004 	
B006:C012:V007	¶
B006:C012:V007 	
B006:C012:V009	¶
B006:C012:V009 	
B006:C013:V001	¶
B006:C013:V001 	
B006:C013:V015	¶
B006:C013:V015 	
B006:C013:V022	¶
B006:C013:V022 	
B006:C013:V029	¶
B006:C013:V029 	
B006:C014:V001	¶
B006:C014:V001 	
B006:C014:V006	¶
B006:C014:V006 	
B006:C015:V001	¶
B006:C015:V001 	
B006:C015:V013	¶
B006:C015:V013 	
B006:C015:V020	¶
B006:C015:V020 	
B006:C015:V063	¶
B006:C015:V063 	
B006:C016:V001	¶
B006:C016:V001 	
B006:C017:V001	¶
B006:C017:V001 	
B006:C017:V003	¶
B006:C017:V003 	
B006:C018:V001	¶
B006:C018:V001 	
B006:C018:V008	¶
B006:C018:V008 	
B006:C018:V010	¶
B006:C018:V010 	
B006:C018:V011	¶
B006:C018:V011 	
B006:C019:V001	¶
B006:C019:V001 	
B006:C019:V010	¶
B006:C019:V010 	
B006:C019:V017	¶
B006:C019:V017 	
B006:C019:V024	¶
B006:C019:V024 	
B006:C019:V032	¶
B006:C019:V032 	
B006:C019:V040	¶
B006:C019:V040 	
B006:C019:V049	¶
B006:C019:V049 	
B006:C020:V001	¶
B006:C020:V001 	
B006:C020:V007	¶
B006:C020:V007 	
B006:C021:V001	¶
B006:C021:V001 	
B006:C021:V009	¶
B006:C021:V009 	
B006:C021:V013	¶
B006:C021:V013 	
B006:C021:V020	¶
B006:C021:V020 	
B006:C021:V027	¶
B006:C021:V027 	
B006:C021:V034	¶
B006:C021:V034 	
B006:C021:V043	¶
B006:C021:V043 	
B006:C022:V001	¶
B006:C022:V001 	
B006:C022:V007	¶
B006:C022:V007 	
B006:C022:V009	¶
B006:C022:V009 	
B006:C022:V010	¶
B006:C022:V010 	
B006:C022:V011	¶
B006:C022:V011 	
B006:C022:V015	¶
B006:C022:V015 	
B006:C022:V021	¶
B006:C022:V021 	
B006:C022:V030	¶
B006:C022:V030 	
B006:C022:V032	¶
B006:C022:V032 	
B006:C023:V001	¶
B006:C023:V001 	
B006:C024:V001	¶
B006:C024:V001 	
B006:C024:V002	¶
B006:C024:V002 	
B006:C024:V008	¶
B006:C024:V008 	
B006:C024:V009	¶
B006:C024:V009 	
B006:C024:V011	¶
B006:C024:V011 	
B006:C024:V014	¶
B006:C024:V014 	
B006:C024:V032	¶
B006:C024:V032 	
B007:C000:V000	¶
B007:C000:V000 	
B007:C001:V001	¶
B007:C001:V001 	
B007:C001:V009	¶
B007:C001:V009 	
B007:C001:V012	¶
B007:C001:V012 	
B007:C001:V016	¶
B007:C001:V016 	
B007:C001:V017	¶
B007:C001:V017 	
B007:C001:V022	¶
B007:C001:V022 	
B007:C001:V027	¶
B007:C001:V027 	
B007:C001:V029	¶
B007:C001:V029 	
B007:C001:V030	¶
B007:C001:V030 	
B007:C001:V031	¶
B007:C001:V031 	
B007:C001:V033	¶
B007:C001:V033 	
B007:C002:V001	¶
B007:C002:V001 	
B007:C002:V006	¶
B007:C002:V006 	
B007:C002:V011	¶
B007:C002:V011 	
B007:C002:V014	¶
B007:C002:V014 	
B007:C003:V001	¶
B007:C003:V001 	
B007:C003:V005	¶
B007:C003:V005 	
B007:C003:V012	¶
B007:C003:V012 	
B007:C003:V026	¶
B007:C003:V026 	
B007:C003:V031	¶
B007:C003:V031 	
B007:C004:V001	¶
B007:C004:V001 	
B007:C004:V004	¶
B007:C004:V004 	
B007:C004:V010	¶
B007:C004:V010 	
B007:C004:V018	¶
B007:C004:V018 	
B007:C005:V001	¶
B007:C005:V001 	
B007:C006:V001	¶
B007:C006:V001 	
B007:C006:V007	¶
B007:C006:V007 	
B007:C006:V011	¶
B007:C006:V011 	
B007:C006:V019	¶
B007:C006:V019 	
B007:C006:V022	¶
B007:C006:V022 	
B007:C006:V028	¶
B007:C006:V028 	
B007:C006:V033	¶
B007:C006:V033 	
B007:C006:V036	¶
B007:C006:V036 	
B007:C007:V001	¶
B007:C007:V001 	
B007:C007:V009	¶
B007:C007:V009 	
B007:C007:V013	¶
B007:C007:V013 	
B007:C007:V019	¶
B007:C007:V019 	
B007:C008:V001	¶
B007:C008:V001 	
B007:C008:V004	¶
B007:C008:V004 	
B007:C008:V006	¶
B007:C008:V006 	
B007:C008:V010	¶
B007:C008:V010 	
B007:C008:V013	¶
B007:C008:V013 	
B007:C008:V022	¶
B007:C008:V022 	
B007:C008:V028	¶
B007:C008:V028 	
B007:C008:V032	¶
B007:C008:V032 	
B007:C009:V001	¶
B007:C009:V001 	
B007:C009:V006	¶
B007:C009:V006 	
B007:C009:V022	¶
B007:C009:V022 	
B007:C009:V030	¶
B007:C009:V030 	
B007:C009:V034	¶
B007:C009:V034 	
B007:C009:V041	¶
B007:C009:V041 	
B007:C009:V050	¶
B007:C009:V050 	
B007:C009:V056	¶
B007:C009:V056 	
B007:C010:V001	¶
B007:C010:V001 	
B007:C010:V003	¶
B007:C010:V003 	
B007:C010:V006	¶
B007:C010:V006 	
B007:C011:V001	¶
B007:C011:V001 	
B007:C011:V004	¶
B007:C011:V004 	
B007:C011:V012	¶
B007:C011:V012 	
B007:C011:V028	¶
B007:C011:V028 	
B007:C011:V032	¶
B007:C011:V032 	
B007:C011:V034	¶
B007:C011:V034 	
B007:C012:V001	¶
B007:C012:V001 	
B007:C012:V008	¶
B007:C012:V008 	
B007:C012:V011	¶
B007:C012:V011 	
B007:C012:V013	¶
B007:C012:V013 	
B007:C013:V001	¶
B007:C013:V001 	
B007:C013:V002	¶
B007:C013:V002 	
B007:C013:V006	¶
B007:C013:V006 	
B007:C013:V015	¶
B007:C013:V015 	
B007:C013:V024	¶
B007:C013:V024 	
B007:C014:V001	¶
B007:C014:V001 	
B007:C014:V005	¶
B007:C014:V005 	
B007:C014:V008	¶
B007:C014:V008 	
B007:C014:V012	¶
B007:C014:V012 	
B007:C014:V019	¶
B007:C014:V019 	
B007:C015:V001	¶
B007:C015:V001 	
B007:C015:V009	¶
B007:C015:V009 	
B007:C015:V014	¶
B007:C015:V014 	
B007:C015:V018	¶
B007:C015:V018 	
B007:C016:V001	¶
B007:C016:V001 	
B007:C016:V004	¶
B007:C016:V004 	
B007:C016:V006	¶
B007:C016:V006 	
B007:C016:V015	¶
B007:C016:V015 	
B007:C016:V022	¶
B007:C016:V022 	
B007:C016:V028	¶
B007:C016:V028 	
B007:C017:V001	¶
B007:C017:V001 	
B007:C017:V007	¶
B007:C017:V007 	
B007:C018:V001	¶
B007:C018:V001 	
B007:C018:V007	¶
B007:C018:V007 	
B007:C018:V011	¶
B007:C018:V011 	
B007:C018:V017	¶
B007:C018:V017 	
B007:C018:V027	¶
B007:C018:V027 	
B007:C019:V001	¶
B007:C019:V001 	
B007:C019:V022	¶
B007:C019:V022 	
B007:C019:V023	¶
B007:C019:V023 	
B007:C019:V029	¶
B007:C019:V029 	
B007:C020:V001	¶
B007:C020:V001 	
B007:C020:V008	¶
B007:C020:V008 	
B007:C020:V012	¶
B007:C020:V012 	
B007:C020:V018	¶
B007:C020:V018 	
B007:C020:V026	¶
B007:C020:V026 	
B007:C020:V034	¶
B007:C020:V034 	
B007:C020:V045	¶
B007:C020:V045 	
B007:C021:V001	¶
B007:C021:V001 	
B007:C021:V008	¶
B007:C021:V008 	
B007:C021:V016	¶
B007:C021:V016 	
B007:C021:V020	¶
B007:C021:V020 	
B008:C000:V000	¶
B008:C000:V000 	
B008:C001:V001	¶
B008:C001:V001 	
B008:C001:V006	¶
B008:C001:V006 	
B008:C001:V008	¶
B008:C001:V008 	
B008:C001:V011	¶
B008:C001:V011 	
B008:C001:V015	¶
B008:C001:V015 	
B008:C001:V016	¶
B008:C001:V016 	
B008:C001:V019	¶
B008:C001:V019 	
B008:C002:V001	¶
B008:C002:V001 	
B008:C002:V004	¶
B008:C002:V004 	
B008:C002:V013	¶
B008:C002:V013 	
B008:C002:V015	¶
B008:C002:V015 	
B008:C002:V018	¶
B008:C002:V018 	
B008:C003:V001	¶
B008:C003:V001 	
B008:C003:V006	¶
B008:C003:V006 	
B008:C003:V014	¶
B008:C003:V014 	
B008:C004:V001	¶
B008:C004:V001 	
B008:C004:V006	¶
B008:C004:V006 	
B008:C004:V009	¶
B008:C004:V009 	
B008:C004:V013	¶
B008:C004:V013 	
B008:C004:V018	¶
B008:C004:V018 	
B009:C000:V000	¶
B009:C000:V000 	
B009:C001:V001	¶
B009:C001:V001 	
B009:C001:V004	¶
B009:C001:V004 	
B009:C001:V009	¶
B009:C001:V009 	
B009:C001:V013	¶
B009:C001:V013 	
B009:C001:V019	¶
B009:C001:V019 	
B009:C001:V024	¶
B009:C001:V024 	
B009:C002:V001	¶
B009:C002:V001 	
B009:C002:V012	¶
B009:C002:V012 	
B009:C002:V018	¶
B009:C002:V018 	
B009:C002:V022	¶
B009:C002:V022 	
B009:C002:V027	¶
B009:C002:V027 	
B009:C003:V001	¶
B009:C003:V001 	
B009:C003:V008	¶
B009:C003:V008 	
B009:C003:V011	¶
B009:C003:V011 	
B009:C003:V015	¶
B009:C003:V015 	
B009:C003:V019	¶
B009:C003:V019 	
B009:C004:V001	¶
B009:C004:V001 	
B009:C004:V003	¶
B009:C004:V003 	
B009:C004:V010	¶
B009:C004:V010 	
B009:C004:V012	¶
B009:C004:V012 	
B009:C004:V019	¶
B009:C004:V019 	
B009:C005:V001	¶
B009:C005:V001 	
B009:C005:V010	¶
B009:C005:V010 	
B009:C006:V001	¶
B009:C006:V001 	
B009:C006:V010	¶
B009:C006:V010 	
B009:C006:V019	¶
B009:C006:V019 	
B009:C006:V021	¶
B009:C006:V021 	
B009:C007:V001	¶
B009:C007:V001 	
B009:C007:V003	¶
B009:C007:V003 	
B009:C008:V001	¶
B009:C008:V001 	
B009:C008:V006	¶
B009:C008:V006 	
B009:C008:V010	¶
B009:C008:V010 	
B009:C008:V019	¶
B009:C008:V019 	
B009:C009:V001	¶
B009:C009:V001 	
B009:C009:V015	¶
B009:C009:V015 	
B009:C009:V025	¶
B009:C009:V025 	
B009:C010:V001	¶
B009:C010:V001 	
B009:C010:V009	¶
B009:C010:V009 	
B009:C010:V014	¶
B009:C010:V014 	
B009:C010:V017	¶
B009:C010:V017 	
B009:C010:V026	¶
B009:C010:V026 	
B009:C011:V001	¶
B009:C011:V001 	
B009:C011:V004	¶
B009:C011:V004 	
B009:C011:V012	¶
B009:C011:V012 	
B009:C012:V001	¶
B009:C012:V001 	
B009:C012:V004	¶
B009:C012:V004 	
B009:C012:V005	¶
B009:C012:V005 	
B009:C012:V006	¶
B009:C012:V006 	
B009:C012:V016	¶
B009:C012:V016 	
B009:C013:V001	¶
B009:C013:V001 	
B009:C013:V005	¶
B009:C013:V005 	
B009:C013:V008	¶
B009:C013:V008 	
B009:C013:V011	¶
B009:C013:V011 	
B009:C013:V017	¶
B009:C013:V017 	
B009:C013:V019	¶
B009:C013:V019 	
B009:C014:V001	¶
B009:C014:V001 	
B009:C014:V004	¶
B009:C014:V004 	
B009:C014:V011	¶
B009:C014:V011 	
B009:C014:V019	¶
B009:C014:V019 	
B009:C014:V024	¶
B009:C014:V024 	
B009:C014:V031	¶
B009:C014:V031 	
B009:C014:V033	¶
B009:C014:V033 	
B009:C014:V036	¶
B009:C014:V036 	
B009:C014:V047	¶
B009:C014:V047 	
B009:C014:V049	¶
B009:C014:V049 	
B009:C015:V001	¶
B009:C015:V001 	
B009:C015:V006	¶
B009:C015:V006 	
B009:C015:V010	¶
B009:C015:V010 	
B009:C015:V013	¶
B009:C015:V013 	
B009:C015:V022	¶
B009:C015:V022 	
B009:C015:V024	¶
B009:C015:V024 	
B009:C015:V026	¶
B009:C015:V026 	
B009:C015:V030	¶
B009:C015:V030 	
B009:C015:V032	¶
B009:C015:V032 	
B009:C015:V034	¶
B009:C015:V034 	
B009:C016:V001	¶
B009:C016:V001 	
B009:C016:V006	¶
B009:C016:V006 	
B009:C016:V014	¶
B009:C016:V014 	
B009:C016:V019	¶
B009:C016:V019 	
