BCV	P
B003:C007:V001	¶
B003:C007:V001 	
B003:C007:V011	¶
B003:C007:V011 	
B003:C007:V022	¶
B003:C007:V022 	
B003:C007:V028	¶
B003:C007:V028 	
B003:C007:V035	¶
B003:C007:V035 	
B003:C008:V001	¶
B003:C008:V001 	
B003:C008:V006	¶
B003:C008:V006 	
B003:C008:V014	¶
B003:C008:V014 	
B003:C008:V022	¶
B003:C008:V022 	
B003:C008:V031	¶
B003:C008:V031 	
B003:C009:V001	¶
B003:C009:V001 	
B003:C009:V008	¶
B003:C009:V008 	
B003:C009:V015	¶
B003:C009:V015 	
B003:C009:V022	¶
B003:C009:V022 	
B003:C010:V001	¶
B003:C010:V001 	
B003:C010:V008	¶
B003:C010:V008 	
B003:C010:V012	¶
B003:C010:V012 	
B003:C010:V016	¶
B003:C010:V016 	
B003:C011:V001	¶
B003:C011:V001 	
B003:C011:V009	¶
B003:C011:V009 	
B003:C011:V013	¶
B003:C011:V013 	
B003:C011:V020	¶
B003:C011:V020 	
B003:C011:V029	¶
B003:C011:V029 	
B003:C011:V046	¶
B003:C011:V046 	
B003:C012:V001	¶
B003:C012:V001 	
B003:C013:V001	¶
B003:C013:V001 	
B003:C013:V009	¶
B003:C013:V009 	
B003:C013:V024	¶
B003:C013:V024 	
B003:C013:V029	¶
B003:C013:V029 	
B003:C013:V038	¶
B003:C013:V038 	
B003:C013:V047	¶
B003:C013:V047 	
B003:C014:V001	¶
B003:C014:V001 	
B003:C014:V010	¶
B003:C014:V010 	
B003:C014:V021	¶
B003:C014:V021 	
B003:C014:V033	¶
B003:C014:V033 	
B003:C014:V054	¶
B003:C014:V054 	
B003:C015:V001	¶
B003:C015:V001 	
B003:C015:V013	¶
B003:C015:V013 	
B003:C015:V019	¶
B003:C015:V019 	
B003:C015:V025	¶
B003:C015:V025 	
B003:C015:V031	¶
B003:C015:V031 	
B003:C016:V001	¶
B003:C016:V001 	
B003:C016:V003	¶
B003:C016:V003 	
B003:C016:V007	¶
B003:C016:V007 	
B003:C016:V011	¶
B003:C016:V011 	
B003:C016:V012	¶
B003:C016:V012 	
B003:C016:V015	¶
B003:C016:V015 	
B003:C016:V020	¶
B003:C016:V020 	
B003:C016:V023	¶
B003:C016:V023 	
B003:C016:V029	¶
B003:C016:V029 	
B003:C017:V001	¶
B003:C017:V001 	
B003:C017:V010	¶
B003:C017:V010 	
B003:C017:V013	¶
B003:C017:V013 	
B003:C018:V001	¶
B003:C018:V001 	
B003:C018:V006	¶
B003:C018:V006 	
B003:C018:V020	¶
B003:C018:V020 	
B003:C018:V022	¶
B003:C018:V022 	
B003:C018:V024	¶
B003:C018:V024 	
B003:C019:V001	¶
B003:C019:V001 	
B003:C019:V005	¶
B003:C019:V005 	
B003:C019:V009	¶
B003:C019:V009 	
B003:C019:V011	¶
B003:C019:V011 	
B003:C019:V016	¶
B003:C019:V016 	
B003:C019:V019	¶
B003:C019:V019 	
B003:C019:V023	¶
B003:C019:V023 	
B003:C019:V026	¶
B003:C019:V026 	
B003:C019:V031	¶
B003:C019:V031 	
B003:C020:V001	¶
B003:C020:V001 	
B003:C020:V006	¶
B003:C020:V006 	
B003:C020:V010	¶
B003:C020:V010 	
B003:C020:V022	¶
B003:C020:V022 	
B003:C021:V001	¶
B003:C021:V001 	
B003:C021:V010	¶
B003:C021:V010 	
B003:C021:V016	¶
B003:C021:V016 	
B003:C022:V001	¶
B003:C022:V001 	
B003:C022:V010	¶
B003:C022:V010 	
B003:C022:V026	¶
B003:C022:V026 	
B003:C022:V031	¶
B003:C022:V031 	
B003:C023:V001	¶
B003:C023:V001 	
B003:C023:V003	¶
B003:C023:V003 	
B003:C023:V004	¶
B003:C023:V004 	
B003:C023:V009	¶
B003:C023:V009 	
B003:C023:V015	¶
B003:C023:V015 	
B003:C023:V022	¶
B003:C023:V022 	
B003:C023:V023	¶
B003:C023:V023 	
B003:C023:V026	¶
B003:C023:V026 	
B003:C023:V033	¶
B003:C023:V033 	
B003:C024:V001	¶
B003:C024:V001 	
B003:C024:V005	¶
B003:C024:V005 	
B003:C024:V010	¶
B003:C024:V010 	
B003:C025:V001	¶
B003:C025:V001 	
B003:C025:V008	¶
B003:C025:V008 	
B003:C025:V018	¶
B003:C025:V018 	
